レア度,0,1,2,3,4,5,6,7,8,9,10
ノーマル,0,0.01,0.02,0.03,0.04,0.06,0.08,0.1,0.13,0.16,0.2
ノーマル＋,0,0.01,0.02,0.03,0.04,0.06,0.08,0.1,0.13,0.16,0.2
レア,0,0.01,0.02,0.03,0.04,0.06,0.08,0.1,0.13,0.16,0.2
レア＋,0,0.01,0.02,0.03,0.04,0.06,0.08,0.1,0.13,0.16,0.2
Ｓレア,0,0.01,0.02,0.03,0.04,0.06,0.08,0.1,0.13,0.16,0.2
Ｓレア＋,0,0.01,0.02,0.03,0.04,0.06,0.08,0.1,0.13,0.16,0.2
ＳＳレア,0,0.01,0.02,0.03,0.04,0.06,0.08,0.1,0.13,0.16,0.2
ＳＳレア＋,0,0.01,0.02,0.03,0.04,0.06,0.08,0.1,0.13,0.16,0.2
ＵＳレア,0,0.02,0.04,0.08,0.13,0.2,0.21,0.22,0.23,0.24,0.25
ＵＳレア＋,0,0.02,0.04,0.08,0.13,0.2,0.21,0.22,0.23,0.24,0.25
