センター効果パーツ,適用要件,適用楽曲,適用メンバー,適用効果,効果量,補足（センター効果）
友情ptを50%アップ,非該当,非該当,非該当,友情pt,0.50 ,シンデレラエール
非該当,非該当,非該当,非該当,非該当,0.00 ,非該当
特別報酬を追加で獲得,非該当,非該当,非該当,特別報酬,0.00 ,クリスマスプレゼント／フォーチュンプレゼント
キュートアイドルの特技発動確率を15%アップ,非該当,非該当,キュートアイドル,特技発動確率,0.15 ,キュートアビリティ
キュートアイドルの特技発動確率を30%アップ,非該当,非該当,キュートアイドル,特技発動確率,0.30 ,キュートアビリティ
キュートアイドルの特技発動確率を40%アップ,非該当,非該当,キュートアイドル,特技発動確率,0.40 ,キュートアビリティ
クールアイドルの特技発動確率を15%アップ,非該当,非該当,クールアイドル,特技発動確率,0.15 ,クールアビリティ
クールアイドルの特技発動確率を30%アップ,非該当,非該当,クールアイドル,特技発動確率,0.30 ,クールアビリティ
クールアイドルの特技発動確率を40%アップ,非該当,非該当,クールアイドル,特技発動確率,0.40 ,クールアビリティ
パッションアイドルの特技発動確率を15%アップ,非該当,非該当,パッションアイドル,特技発動確率,0.15 ,パッションアビリティ
パッションアイドルの特技発動確率を30%アップ,非該当,非該当,パッションアイドル,特技発動確率,0.30 ,パッションアビリティ
パッションアイドルの特技発動確率を40%アップ,非該当,非該当,パッションアイドル,特技発動確率,0.40 ,パッションアビリティ
全員の特技発動確率を25%アップ,非該当,非該当,全員,特技発動確率,0.25 ,クール・クロス・キュート／クール・クロス・パッション
全員の特技発動確率を35%アップ,非該当,非該当,全員,特技発動確率,0.35 ,クール・クロス・キュート／クール・クロス・パッション
全員の特技発動確率を40%アップ,非該当,非該当,全員,特技発動確率,0.40 ,トリコロール・アビリティ
全員の特技発動確率を50%アップ,非該当,非該当,全員,特技発動確率,0.50 ,トリコロール・アビリティ
キュートアイドルの全アピール値を10%アップ,非該当,非該当,キュートアイドル,全アピール値,0.10 ,キュートブリリアンス
キュートアイドルの全アピール値を30%アップ,非該当,非該当,キュートアイドル,全アピール値,0.30 ,キュートブリリアンス／キュートユニゾン
キュートアイドルの全アピール値を40%アップ,非該当,非該当,キュートアイドル,全アピール値,0.40 ,キュートブリリアンス
キュート楽曲ならキュートアイドルの全アピール値を55%アップ,非該当,キュート楽曲,キュートアイドル,全アピール値,0.55 ,キュートユニゾン
クールアイドルの全アピール値を10%アップ,非該当,非該当,クールアイドル,全アピール値,0.10 ,クールブリリアンス
クールアイドルの全アピール値を30%アップ,非該当,非該当,クールアイドル,全アピール値,0.30 ,クールブリリアンス／クールユニゾン
クールアイドルの全アピール値を40%アップ,非該当,非該当,クールアイドル,全アピール値,0.40 ,クールブリリアンス
クール楽曲ならクールアイドルの全アピール値を55%アップ,非該当,クール楽曲,クールアイドル,全アピール値,0.55 ,クールユニゾン
パッションアイドルの全アピール値を10%アップ,非該当,非該当,パッションアイドル,全アピール値,0.10 ,パッションブリリアンス
パッションアイドルの全アピール値を30%アップ,非該当,非該当,パッションアイドル,全アピール値,0.30 ,パッションブリリアンス／パッションユニゾン
パッションアイドルの全アピール値を40%アップ,非該当,非該当,パッションアイドル,全アピール値,0.40 ,パッションブリリアンス
パッション楽曲ならパッションアイドルの全アピール値を55%アップ,非該当,パッション楽曲,パッションアイドル,全アピール値,0.55 ,パッションユニゾン
全タイプ楽曲なら全員の全アピール値を50%アップ,非該当,全タイプ楽曲,全員,全アピール値,0.50 ,トリコロール・ユニゾン
全タイプ楽曲なら全員の全アピール値を80%アップ,非該当,全タイプ楽曲,全員,全アピール値,0.80 ,トリコロール・ユニゾン
全員の全アピール値を20%アップ,非該当,非該当,全員,全アピール値,0.20 ,クール・クロス・キュート／クール・クロス・パッション／キュート・クロス・クール／キュート・クロス・パッション／パッション・クロス・キュート／パッション・クロス・クール
全員の全アピール値を25%アップ,非該当,非該当,全員,全アピール値,0.25 ,トリコロール・ユニゾン
全員の全アピール値を30%アップ,非該当,非該当,全員,全アピール値,0.30 ,クール・クロス・キュート／クール・クロス・パッション／キュート・クロス・クール／キュート・クロス・パッション／パッション・クロス・キュート／パッション・クロス・クール
全員の全アピール値を35%アップ,非該当,非該当,全員,全アピール値,0.35 ,キュートプリンセス／クールプリンセス／パッションプリンセス
全員の全アピール値を40%アップ,非該当,非該当,全員,全アピール値,0.40 ,トリコロール・ユニゾン
全員の全アピール値を50%アップ,非該当,非該当,全員,全アピール値,0.50 ,キュートプリンセス／クールプリンセス／パッションプリンセス
獲得経験値を50%アップ,非該当,非該当,非該当,獲得経験値,0.50 ,シンデレラエール
キュートアイドルの獲得ファン数を55%アップ,非該当,非該当,キュートアイドル,獲得ファン数,0.55 ,スターライトチャーム・キュート
クールアイドルの獲得ファン数を55%アップ,非該当,非該当,クールアイドル,獲得ファン数,0.55 ,スターライトチャーム・クール
パッションアイドルの獲得ファン数を55%アップ,非該当,非該当,パッションアイドル,獲得ファン数,0.55 ,スターライトチャーム・パッション
全員の獲得ファン数を10%アップ,非該当,非該当,全員,獲得ファン数,0.10 ,キュート・クロス・クール／キュート・クロス・パッション
全員の獲得ファン数を30%アップ,非該当,非該当,全員,獲得ファン数,0.30 ,スターライトチャーム・クール／スターライトチャーム・キュート／スターライトチャーム・パッション
全員の獲得ファン数を32%アップ,非該当,非該当,全員,獲得ファン数,0.32 ,シンデレラチャーム
全員の獲得ファン数を40%アップ,非該当,非該当,全員,獲得ファン数,0.40 ,シンデレラチャーム
全員の獲得ファン数を8%アップ,非該当,非該当,全員,獲得ファン数,0.08 ,キュート・クロス・クール／キュート・クロス・パッション
