パーツ番号,センター効果,センター効果分類,センター効果分類説明,センター効果説明,発動要件,編成要件,楽曲要件,センター効果パーツ,適用効果
1,非該当,非該当,非該当,非該当,非該当,非該当,非該当,非該当,非該当
1,クリスマスプレゼント,プレゼント,特別報酬,LIVEクリア時、特別報酬を追加で獲得,LIVEクリア,非該当,非該当,特別報酬を追加で獲得,特別報酬
1,フォーチュンプレゼント,プレゼント,特別報酬,LIVEクリア時、特別報酬を追加で獲得,LIVEクリア,非該当,非該当,特別報酬を追加で獲得,特別報酬
1,トリコロール・アビリティ,アビリティ,特技発動確率／トリコロール,3タイプ全てのアイドル編成時、全員の特技発動確率40%アップ,非該当,3タイプ全てのアイドル編成,非該当,全員の特技発動確率を40%アップ,特技発動確率
1,トリコロール・アビリティ,アビリティ,特技発動確率／トリコロール,3タイプ全てのアイドル編成時、全員の特技発動確率50%アップ,非該当,3タイプ全てのアイドル編成,非該当,全員の特技発動確率を50%アップ,特技発動確率
1,キュートアビリティ,アビリティ,特技発動確率,キュートアイドルの特技発動確率15%アップ,非該当,非該当,非該当,キュートアイドルの特技発動確率を15%アップ,特技発動確率
1,クールアビリティ,アビリティ,特技発動確率,クールアイドルの特技発動確率15%アップ,非該当,非該当,非該当,クールアイドルの特技発動確率を15%アップ,特技発動確率
1,パッションアビリティ,アビリティ,特技発動確率,パッションアイドルの特技発動確率15%アップ,非該当,非該当,非該当,パッションアイドルの特技発動確率を15%アップ,特技発動確率
1,キュートアビリティ,アビリティ,特技発動確率,キュートアイドルの特技発動確率30%アップ,非該当,非該当,非該当,キュートアイドルの特技発動確率を30%アップ,特技発動確率
1,クールアビリティ,アビリティ,特技発動確率,クールアイドルの特技発動確率30%アップ,非該当,非該当,非該当,クールアイドルの特技発動確率を30%アップ,特技発動確率
1,パッションアビリティ,アビリティ,特技発動確率,パッションアイドルの特技発動確率30%アップ,非該当,非該当,非該当,パッションアイドルの特技発動確率を30%アップ,特技発動確率
1,キュートアビリティ,アビリティ,特技発動確率,キュートアイドルの特技発動確率40%アップ,非該当,非該当,非該当,キュートアイドルの特技発動確率を40%アップ,特技発動確率
1,クールアビリティ,アビリティ,特技発動確率,クールアイドルの特技発動確率40%アップ,非該当,非該当,非該当,クールアイドルの特技発動確率を40%アップ,特技発動確率
1,パッションアビリティ,アビリティ,特技発動確率,パッションアイドルの特技発動確率40%アップ,非該当,非該当,非該当,パッションアイドルの特技発動確率を40%アップ,特技発動確率
1,トリコロール・ユニゾン,ユニゾン,全アピール値／トリコロール,3タイプ全てのアイドル編成時、全員の全アピール値25%アップ、全タイプ楽曲なら50%アップ,非該当,3タイプ全てのアイドル編成,非該当,全員の全アピール値を25%アップ,全アピール値
1,トリコロール・ユニゾン,ユニゾン,全アピール値／トリコロール,3タイプ全てのアイドル編成時、全員の全アピール値40%アップ、全タイプ楽曲なら80%アップ,非該当,3タイプ全てのアイドル編成,非該当,全員の全アピール値を40%アップ,全アピール値
1,クール・クロス・キュート,クロス,全アピール値、特技発動確率,クールとキュートのアイドル編成時、全員の全アピール値20%アップ、全員の特技発動率25%アップ,非該当,クールとキュートのアイドル編成,非該当,全員の全アピール値を20%アップ,全アピール値
1,クール・クロス・キュート,クロス,全アピール値、特技発動確率,クールとキュートのアイドル編成時、全員の全アピール値30%アップ、全員の特技発動率35%アップ,非該当,クールとキュートのアイドル編成,非該当,全員の全アピール値を30%アップ,全アピール値
1,クール・クロス・パッション,クロス,全アピール値、特技発動確率,クールとパッションのアイドル編成時、全員の全アピール値20%アップ、全員の特技発動率25%アップ,非該当,クールとパッションのアイドル編成,非該当,全員の全アピール値を20%アップ,全アピール値
1,クール・クロス・パッション,クロス,全アピール値、特技発動確率,クールとパッションのアイドル編成時、全員の全アピール値30%アップ、全員の特技発動率35%アップ,非該当,クールとパッションのアイドル編成,非該当,全員の全アピール値を30%アップ,全アピール値
1,キュート・クロス・クール,クロス,全アピール値、獲得ファン数,キュートとクールのアイドル編成時、全員の全アピール値20%アップ、獲得ファン数が8%アップ,非該当,キュートとクールのアイドル編成,非該当,全員の全アピール値を20%アップ,全アピール値
1,キュート・クロス・クール,クロス,全アピール値、獲得ファン数,キュートとクールのアイドル編成時、全員の全アピール値30%アップ、獲得ファン数が10%アップ,非該当,キュートとクールのアイドル編成,非該当,全員の全アピール値を30%アップ,全アピール値
1,キュート・クロス・パッション,クロス,全アピール値、獲得ファン数,キュートとパッションのアイドル編成時、全員の全アピール値20%アップ、獲得ファン数が8%アップ,非該当,キュートとパッションのアイドル編成,非該当,全員の全アピール値を20%アップ,全アピール値
1,キュート・クロス・パッション,クロス,全アピール値、獲得ファン数,キュートとパッションのアイドル編成時、全員の全アピール値30%アップ、獲得ファン数が10%アップ,非該当,キュートとパッションのアイドル編成,非該当,全員の全アピール値を30%アップ,全アピール値
1,パッション・クロス・キュート,クロス,全アピール値、ライフ値,パッションとキュートのアイドル編成時、全員の全アピール値20%アップ、全員のライフ15%アップ,非該当,パッションとキュートのアイドル編成,非該当,全員の全アピール値を20%アップ,全アピール値
1,パッション・クロス・キュート,クロス,全アピール値、ライフ値,パッションとキュートのアイドル編成時、全員の全アピール値30%アップ、全員のライフ25%アップ,非該当,パッションとキュートのアイドル編成,非該当,全員の全アピール値を30%アップ,全アピール値
1,パッション・クロス・クール,クロス,全アピール値、ライフ値,パッションとクールのアイドル編成時、全員の全アピール値20%アップ、全員のライフ15%アップ,非該当,パッションとクールのアイドル編成,非該当,全員の全アピール値を20%アップ,全アピール値
1,パッション・クロス・クール,クロス,全アピール値、ライフ値,パッションとクールのアイドル編成時、全員の全アピール値30%アップ、全員のライフ25%アップ,非該当,パッションとクールのアイドル編成,非該当,全員の全アピール値を30%アップ,全アピール値
