ふりがな,名前,アイドルタイプ,年齢,誕生日,星座,血液型,身長,体重,バスト,ウエスト,ヒップ,利き手,出身地,趣味,声優,登録日
あいはらゆきの,相原雪乃,キュートアイドル,22歳,'2月14日',水瓶座,A型,160cm,51kg,92cm,58cm,90cm,左,秋田,紅茶,-,'2016年11月22日'
あかにしえりか,赤西瑛梨華,キュートアイドル,16歳,'7月7日',蟹座,O型,154cm,55kg,92cm,59cm,88cm,両,岡山,漫才鑑賞,-,'2016年12月22日'
あさのふうか,浅野風香,キュートアイドル,16歳,'2月11日',水瓶座,A型,160cm,48kg,88cm,59cm,84cm,右,滋賀,小説を書くこと,-,'2016年10月12日'
あべなな,安部菜々,キュートアイドル,永遠の17歳,'5月15日',牡牛座,O型,146cm,40kg,84cm,57cm,84cm,右,ウサミン星,ウサミン星との交信,三宅麻理恵,'2015年9月3日'
ありうらかんな,有浦柑奈,キュートアイドル,19歳,'3月6日',魚座,O型,155cm,44kg,78cm,57cm,80cm,右,長崎,ラブ＆ピース,-,'2016年5月19日'
あんざいみやこ,安斎都,キュートアイドル,16歳,'1月6日',山羊座,B型,156cm,41kg,78cm,55cm,77cm,右,福井,探偵ドラマ・推理小説を見ること,-,'2016年8月9日'
いがらしきょうこ,五十嵐響子,キュートアイドル,15歳,'8月10日',獅子座,AB型,154cm,43kg,81cm,58cm,80cm,右,鳥取,家事全般,種﨑敦美,'2015年10月6日'
いけぶくろあきは,池袋晶葉,キュートアイドル,14歳,'6月10日',双子座,B型,148cm,39kg,75cm,53cm,74cm,右,東京,ロボット制作,-,'2016年12月12日'
いちのせしき,一ノ瀬志希,キュートアイドル,18歳,'5月30日',双子座,O型,161cm,43kg,83cm,57cm,82cm,右,岩手,観察・アヤしい科学実験・失踪,藍原ことみ,'2015年9月3日'
いまいかな,今井加奈,キュートアイドル,16歳,'3月3日',魚座,O型,153cm,41kg,81cm,56cm,79cm,右,高知,友達とおしゃべり,-,'2016年1月9日'
いむらせつな,井村雪菜,キュートアイドル,17歳,'8月27日',乙女座,AB型,163cm,48kg,85cm,60cm,88cm,右,秋田,メイク小物集め,-,'2015年12月21日'
