センター効果パーツ,適用要件,適用楽曲,適用メンバー,適用効果,効果量
キュートアイドルのボーカルアピール値30%アップ,非該当,非該当,キュート,ボーカルアピール値,0.3
クールアイドルのボーカルアピール値30%アップ,非該当,非該当,クール,ボーカルアピール値,0.3
パッションアイドルのボーカルアピール値30%アップ,非該当,非該当,パッション,ボーカルアピール値,0.3
キュートアイドルのボーカルアピール値60%アップ,非該当,非該当,キュート,ボーカルアピール値,0.6
クールアイドルのボーカルアピール値60%アップ,非該当,非該当,クール,ボーカルアピール値,0.6
パッションアイドルのボーカルアピール値60%アップ,非該当,非該当,パッション,ボーカルアピール値,0.6
キュートアイドルのボーカルアピール値90%アップ,非該当,非該当,キュート,ボーカルアピール値,0.9
クールアイドルのボーカルアピール値90%アップ,非該当,非該当,クール,ボーカルアピール値,0.9
パッションアイドルのボーカルアピール値90%アップ,非該当,非該当,パッション,ボーカルアピール値,0.9
キュートアイドルのダンスアピール値30%アップ,非該当,非該当,キュート,ダンスアピール値,0.3
クールアイドルのダンスアピール値30%アップ,非該当,非該当,クール,ダンスアピール値,0.3
パッションアイドルのダンスアピール値30%アップ,非該当,非該当,パッション,ダンスアピール値,0.3
キュートアイドルのダンスアピール値60%アップ,非該当,非該当,キュート,ダンスアピール値,0.6
クールアイドルのダンスアピール値60%アップ,非該当,非該当,クール,ダンスアピール値,0.6
パッションアイドルのダンスアピール値60%アップ,非該当,非該当,パッション,ダンスアピール値,0.6
キュートアイドルのダンスアピール値90%アップ,非該当,非該当,キュート,ダンスアピール値,0.9
クールアイドルのダンスアピール値90%アップ,非該当,非該当,クール,ダンスアピール値,0.9
パッションアイドルのダンスアピール値90%アップ,非該当,非該当,パッション,ダンスアピール値,0.9
キュートアイドルのビジュアルアピール値30%アップ,非該当,非該当,キュート,ビジュアルアピール値,0.3
クールアイドルのビジュアルアピール値30%アップ,非該当,非該当,クール,ビジュアルアピール値,0.3
パッションアイドルのビジュアルアピール値30%アップ,非該当,非該当,パッション,ビジュアルアピール値,0.3
キュートアイドルのビジュアルアピール値60%アップ,非該当,非該当,キュート,ビジュアルアピール値,0.6
クールアイドルのビジュアルアピール値60%アップ,非該当,非該当,クール,ビジュアルアピール値,0.6
パッションアイドルのビジュアルアピール値60%アップ,非該当,非該当,パッション,ビジュアルアピール値,0.6
キュートアイドルのビジュアルアピール値90%アップ,非該当,非該当,キュート,ビジュアルアピール値,0.9
クールアイドルのビジュアルアピール値90%アップ,非該当,非該当,クール,ビジュアルアピール値,0.9
パッションアイドルのビジュアルアピール値90%アップ,非該当,非該当,パッション,ビジュアルアピール値,0.9
キュートアイドルの全アピール値10%アップ,非該当,非該当,キュート,全アピール値,0.1
クールアイドルの全アピール値10%アップ,非該当,非該当,クール,全アピール値,0.1
パッションアイドルの全アピール値10%アップ,非該当,非該当,パッション,全アピール値,0.1
キュートアイドルの全アピール値30%アップ,非該当,非該当,キュート,全アピール値,0.3
クールアイドルの全アピール値30%アップ,非該当,非該当,クール,全アピール値,0.3
パッションアイドルの全アピール値30%アップ,非該当,非該当,パッション,全アピール値,0.3
キュートアイドルの全アピール値40%アップ,非該当,非該当,キュート,全アピール値,0.4
クールアイドルの全アピール値40%アップ,非該当,非該当,クール,全アピール値,0.4
パッションアイドルの全アピール値40%アップ,非該当,非該当,パッション,全アピール値,0.4
キュートアイドルのライフ10%アップ,非該当,非該当,キュート,ライフ,0.1
クールアイドルのライフ10%アップ,非該当,非該当,クール,ライフ,0.1
パッションアイドルのライフ10%アップ,非該当,非該当,パッション,ライフ,0.1
キュートアイドルのライフ20%アップ,非該当,非該当,キュート,ライフ,0.2
クールアイドルのライフ20%アップ,非該当,非該当,クール,ライフ,0.2
パッションアイドルのライフ20%アップ,非該当,非該当,パッション,ライフ,0.2
キュートアイドルのライフ30%アップ,非該当,非該当,キュート,ライフ,0.3
クールアイドルのライフ30%アップ,非該当,非該当,クール,ライフ,0.3
パッションアイドルのライフ30%アップ,非該当,非該当,パッション,ライフ,0.3
キュートアイドルの特技発動確率15%アップ,非該当,非該当,キュート,特技発動確率,0.15
クールアイドルの特技発動確率15%アップ,非該当,非該当,クール,特技発動確率,0.15
パッションアイドルの特技発動確率15%アップ,非該当,非該当,パッション,特技発動確率,0.15
キュートアイドルの特技発動確率30%アップ,非該当,非該当,キュート,特技発動確率,0.3
クールアイドルの特技発動確率30%アップ,非該当,非該当,クール,特技発動確率,0.3
パッションアイドルの特技発動確率30%アップ,非該当,非該当,パッション,特技発動確率,0.3
キュートアイドルの特技発動確率40%アップ,非該当,非該当,キュート,特技発動確率,0.4
クールアイドルの特技発動確率40%アップ,非該当,非該当,クール,特技発動確率,0.4
パッションアイドルの特技発動確率40%アップ,非該当,非該当,パッション,特技発動確率,0.4
全員の全アピール値35%アップ,非該当,非該当,全員,全アピール値,0.35
全員のボーカルアピール値80%アップ,非該当,非該当,全員,ボーカルアピール値,0.8
全員のダンスアピール値80%アップ,非該当,非該当,全員,ダンスアピール値,0.8
全員のビジュアルアピール値80%アップ,非該当,非該当,全員,ビジュアルアピール値,0.8
全員の特技発動確率40%アップ,非該当,非該当,全員,特技発動確率,0.4
全員の全アピール値20%アップ,非該当,非該当,全員,全アピール値,0.2
全員の全アピール値30%アップ,非該当,非該当,全員,全アピール値,0.3
全員の獲得ファン数が32%アップ,非該当,非該当,全員,獲得ファン数,0.32
全員の獲得ファン数が8%アップ,非該当,非該当,全員,獲得ファン数,0.08
全員の獲得ファン数が10%アップ,非該当,非該当,全員,獲得ファン数,0.1
全員の特技発動率25%アップ,非該当,非該当,全員,特技発動確率,0.25
全員の特技発動率35%アップ,非該当,非該当,全員,特技発動確率,0.35
全員のライフ15%アップ,非該当,非該当,全員,ライフ,0.15
全員のライフ25%アップ,非該当,非該当,全員,ライフ,0.25
