パーツ番号,センター効果,センター効果分類,センター効果分類説明,センター効果説明,発動要件,編成要件,楽曲要件,センター効果パーツ,適用効果
1,キュートボイス★1,ボイス,ボーカルアピール値,キュートアイドルのボーカルアピール値30%アップ,非該当,非該当,非該当,キュートアイドルのボーカルアピール値30%アップ,ボーカルアピール値
1,クールボイス★1,ボイス,ボーカルアピール値,クールアイドルのボーカルアピール値30%アップ,非該当,非該当,非該当,クールアイドルのボーカルアピール値30%アップ,ボーカルアピール値
1,パッションボイス★1,ボイス,ボーカルアピール値,パッションアイドルのボーカルアピール値30%アップ,非該当,非該当,非該当,パッションアイドルのボーカルアピール値30%アップ,ボーカルアピール値
1,キュートボイス★2,ボイス,ボーカルアピール値,キュートアイドルのボーカルアピール値60%アップ,非該当,非該当,非該当,キュートアイドルのボーカルアピール値60%アップ,ボーカルアピール値
1,クールボイス★2,ボイス,ボーカルアピール値,クールアイドルのボーカルアピール値60%アップ,非該当,非該当,非該当,クールアイドルのボーカルアピール値60%アップ,ボーカルアピール値
1,パッションボイス★2,ボイス,ボーカルアピール値,パッションアイドルのボーカルアピール値60%アップ,非該当,非該当,非該当,パッションアイドルのボーカルアピール値60%アップ,ボーカルアピール値
1,キュートボイス★3,ボイス,ボーカルアピール値,キュートアイドルのボーカルアピール値90%アップ,非該当,非該当,非該当,キュートアイドルのボーカルアピール値90%アップ,ボーカルアピール値
1,クールボイス★3,ボイス,ボーカルアピール値,クールアイドルのボーカルアピール値90%アップ,非該当,非該当,非該当,クールアイドルのボーカルアピール値90%アップ,ボーカルアピール値
1,パッションボイス★3,ボイス,ボーカルアピール値,パッションアイドルのボーカルアピール値90%アップ,非該当,非該当,非該当,パッションアイドルのボーカルアピール値90%アップ,ボーカルアピール値
1,キュートステップ★1,ステップ,ダンスアピール値,キュートアイドルのダンスアピール値30%アップ,非該当,非該当,非該当,キュートアイドルのダンスアピール値30%アップ,ダンスアピール値
1,クールステップ★1,ステップ,ダンスアピール値,クールアイドルのダンスアピール値30%アップ,非該当,非該当,非該当,クールアイドルのダンスアピール値30%アップ,ダンスアピール値
1,パッションステップ★1,ステップ,ダンスアピール値,パッションアイドルのダンスアピール値30%アップ,非該当,非該当,非該当,パッションアイドルのダンスアピール値30%アップ,ダンスアピール値
1,キュートステップ★2,ステップ,ダンスアピール値,キュートアイドルのダンスアピール値60%アップ,非該当,非該当,非該当,キュートアイドルのダンスアピール値60%アップ,ダンスアピール値
1,クールステップ★2,ステップ,ダンスアピール値,クールアイドルのダンスアピール値60%アップ,非該当,非該当,非該当,クールアイドルのダンスアピール値60%アップ,ダンスアピール値
1,パッションステップ★2,ステップ,ダンスアピール値,パッションアイドルのダンスアピール値60%アップ,非該当,非該当,非該当,パッションアイドルのダンスアピール値60%アップ,ダンスアピール値
1,キュートステップ★3,ステップ,ダンスアピール値,キュートアイドルのダンスアピール値90%アップ,非該当,非該当,非該当,キュートアイドルのダンスアピール値90%アップ,ダンスアピール値
1,クールステップ★3,ステップ,ダンスアピール値,クールアイドルのダンスアピール値90%アップ,非該当,非該当,非該当,クールアイドルのダンスアピール値90%アップ,ダンスアピール値
1,パッションステップ★3,ステップ,ダンスアピール値,パッションアイドルのダンスアピール値90%アップ,非該当,非該当,非該当,パッションアイドルのダンスアピール値90%アップ,ダンスアピール値
1,キュートメイク★1,メイク,ビジュアルアピール値,キュートアイドルのビジュアルアピール値30%アップ,非該当,非該当,非該当,キュートアイドルのビジュアルアピール値30%アップ,ビジュアルアピール値
1,クールメイク★1,メイク,ビジュアルアピール値,クールアイドルのビジュアルアピール値30%アップ,非該当,非該当,非該当,クールアイドルのビジュアルアピール値30%アップ,ビジュアルアピール値
