育成pt,ボーカル,ダンス,ビジュアル,ライフ
1,200,200,200,4
2,400,400,400,8
3,600,600,600,12
4,800,800,800,16
5,1000,1000,1000,20
6,1200,1200,1200,24
7,1400,1400,1400,28
8,1600,1600,1600,32
9,1800,1800,1800,36
10,2000,2000,2000,40
11,2115,2115,2115,42
12,2230,2230,2230,44
13,2345,2345,2345,46
14,2460,2460,2460,48
15,2575,2575,2575,50
16,2690,2690,2690,52
17,2805,2805,2805,54
18,2920,2920,2920,56
19,3035,3035,3035,58
20,3150,3150,3150,60
21,3265,3265,3265,62
22,3380,3380,3380,64
23,3495,3495,3495,66
24,3610,3610,3610,68
25,3725,3725,3725,70
26,3840,3840,3840,72
27,3955,3955,3955,74
28,4070,4070,4070,76
29,4185,4185,4185,78
30,4300,4300,4300,80
31,4415,4415,4415,82
32,4530,4530,4530,84
33,4645,4645,4645,86
34,4760,4760,4760,88
35,4875,4875,4875,90
36,5000,5000,5000,92
