特技パーツ,特技パーツ効果分類,適用メンバー,適用アイコン,適用判定,特技パーツ効果,効果量,ブーストタイプ,特技
PERFECTのスコア10%をアップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,0.1,％強化,SCOREボーナス★1 / 6秒低確率／SCOREボーナス★1 / 7秒低確率／SCOREボーナス★1 / 9秒低確率
PERFECTのスコア15%をアップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,0.15,％強化,SCOREボーナス★2 / 4秒高確率／SCOREボーナス★2 / 6秒中確率／SCOREボーナス★2 / 7秒高確率／SCOREボーナス★2 / 7秒中確率／SCOREボーナス★2 / 9秒高確率／SCOREボーナス★2 / 9秒中確率／SCOREボーナス★2 / 11秒高確率／SCOREボーナス★2 / 11秒中確率／SCOREボーナス★2 / 13秒高確率
PERFECT/GREATのスコアを17%アップ,スコアアップ,全員,非該当,PERFECT/GREAT判定,スコアボーナス,0.17,％強化,SCOREボーナス★3 / 6秒中確率／SCOREボーナス★3 / 7秒高確率／SCOREボーナス★3 / 9秒高確率／SCOREボーナス★3 / 11秒高確率／SCOREボーナス★3 / 13秒高確率
COMBOボーナスを8%アップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,0.08,％強化,COMBOボーナス★1 / 6秒低確率／COMBOボーナス★1 / 7秒低確率／COMBOボーナス★1 / 9秒低確率
COMBOボーナスを14%アップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,0.14,％強化,COMBOボーナス★2 / 4秒中確率／COMBOボーナス★2 / 6秒中確率／COMBOボーナス★2 / 7秒高確率／COMBOボーナス★2 / 7秒中確率／COMBOボーナス★2 / 9秒中確率／COMBOボーナス★2 / 11秒高確率／COMBOボーナス★2 / 11秒中確率／COMBOボーナス★2 / 13秒高確率
GREAT/NICEをPERFECTにする,PERFECTサポート,全員,非該当,GREAT/NICE判定,PERFECTサポート,判定,判定強化,PERFECTサポート★2 / 6秒中確率／PERFECTサポート★2 / 12秒中確率／PERFECTサポート★2 / 15秒中確率／チューニング★3 / 7秒高確率／チューニング★3 / 9秒高確率／チューニング★3 / 11秒高確率／チューニング★3 / 11秒中確率／チューニング★3 / 13秒高確率
PERFECTでライフを2回復,ライフサポート,全員,非該当,PERFECT判定,ライフ回復,2,数値強化,ライフ回復★1 / 9秒低確率／ライフ回復★1 / 11秒低確率／ライフ回復★1 / 13秒低確率
PERFECTでライフを3回復,ライフサポート,全員,非該当,PERFECT判定,ライフ回復,3,数値強化,ライフ回復★2 / 6秒中確率／ライフ回復★2 / 7秒高確率／ライフ回復★2 / 8秒中確率／ライフ回復★2 / 10秒高確率／ライフ回復★2 / 13秒高確率／ライフ回復★2 / 14秒中確率／ライフ回復★2 / 17秒中確率
ライフが減少しなくなる,ライフサポート,全員,非該当,非該当,ダメージガード,0,数値強化（ライフ回復）,ダメージガード★2 / 7秒中確率／ダメージガード★2 / 7秒高確率／ダメージガード★2 / 9秒高確率／ダメージガード★2 / 9秒中確率／ダメージガード★2 / 11秒高確率／ダメージガード★2 / 11秒中確率
PERFECT/GREATのスコアを18%アップ,スコアアップ,全員,非該当,PERFECT/GREAT判定,スコアボーナス,0.18,％強化,オーバーロード★2 / 7秒高確率／オーバーロード★2 / 7秒中確率／オーバーロード★2 / 9秒中確率
PERFECTのスコアを19%アップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,0.19,％強化,コンセントレーション★2 / 7秒高確率／コンセントレーション★2 / 9秒高確率／コンセントレーション★2 / 9秒中確率／コンセントレーション★2 / 11秒高確率／コンセントレーション★2 / 13秒高確率
PERFECTのスコアを22%アップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,0.22,％強化,コンセントレーション★3 / 7秒高確率／コンセントレーション★3 / 9秒高確率／コンセントレーション★3 / 11秒高確率／コンセントレーション★3 / 11秒中確率／コンセントレーション★3 / 13秒高確率
他アイドルのスコアアップ効果を中アップ,スキルブースト,全ユニット,非該当,非該当,スコアブースト,0.1,非該当,スキルブースト★2 / 7秒高確率／スキルブースト★2 / 9秒高確率／スキルブースト★2 / 11秒高確率
PERFECTのスコアを14%アップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,0.14,％強化,キュートフォーカス★2 / 6秒中確率／クールフォーカス★2 / 6秒中確率／パッションフォーカス★2 / 6秒中確率／キュートフォーカス★2 / 7秒高確率／クールフォーカス★2 / 7秒高確率／パッションフォーカス★2 / 7秒高確率／キュートフォーカス★2 / 9秒高確率／クールフォーカス★2 / 9秒高確率／パッションフォーカス★2 / 9秒高確率／キュートフォーカス★2 / 11秒高確率／クールフォーカス★2 / 11秒高確率／パッションフォーカス★2 / 11秒高確率
COMBOボーナスを10%アップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,0.1,％強化,オールラウンド★2 / 5秒高確率／オールラウンド★2 / 8秒高確率／オールラウンド★2 / 11秒中確率
COMBOボーナスを13%アップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,0.13,％強化,オールラウンド★3 / 5秒高確率／オールラウンド★3 / 8秒高確率／オールラウンド★3 / 9秒中確率／オールラウンド★3 / 11秒高確率／オールラウンド★3 / 13秒中確率
直前に発動した他アイドルの特技効果を繰り返す,適用,全ユニット,非該当,非該当,アンコール,非該当,非該当,アンコール★2 / 9秒中確率／アンコール★2 / 12秒中確率／アンコール★2 / 15秒中確率／アンコール★2 / 18秒中確率
ライフ値が多いほどCOMBOボーナスアップ,COMBOボーナス,全員,非該当,非該当,COMBOボーナス,ライフ値が多いほど,％強化,ライフスパークル★2 / 9秒高確率／ライフスパークル★2 / 11秒高確率／ライフスパークル★2 / 13秒高確率
