パーツ番号,特技,特技分類,特技説明,発動要件,楽曲要件,編成要件,発動間隔,発動確率,継続期間,特技パーツ,特技パーツ効果
1,SCOREボーナス★1 / 6秒低確率,スコアボーナス,6秒毎、低確率で少しの間、PERFECTのスコア10%アップ,非該当,非該当,非該当,6,低確率,少しの間,PERFECTのスコア10%をアップ,スコアボーナス
1,SCOREボーナス★1 / 7秒低確率,スコアボーナス,7秒毎、低確率でしばらくの間、PERFECTのスコア10%アップ,非該当,非該当,非該当,7,低確率,しばらくの間,PERFECTのスコア10%をアップ,スコアボーナス
1,SCOREボーナス★1 / 9秒低確率,スコアボーナス,9秒毎、低確率でかなりの間、PERFECTのスコア10%アップ,非該当,非該当,非該当,9,低確率,かなりの間,PERFECTのスコア10%をアップ,スコアボーナス
1,SCOREボーナス★2 / 4秒高確率,スコアボーナス,4秒毎、高確率で一瞬の間、PERFECTのスコア15%アップ,非該当,非該当,非該当,4,高確率,一瞬の間,PERFECTのスコア15%をアップ,スコアボーナス
1,SCOREボーナス★2 / 6秒中確率,スコアボーナス,6秒毎、中確率でわずかな間、PERFECTのスコア15%アップ,非該当,非該当,非該当,6,中確率,わずかな間,PERFECTのスコア15%をアップ,スコアボーナス
1,SCOREボーナス★2 / 7秒高確率,スコアボーナス,7秒毎、高確率でわずかな間、PERFECTのスコア15%アップ,非該当,非該当,非該当,7,高確率,わずかな間,PERFECTのスコア15%をアップ,スコアボーナス
1,SCOREボーナス★2 / 7秒中確率,スコアボーナス,7秒毎、中確率で少しの間、PERFECTのスコア15%アップ,非該当,非該当,非該当,7,中確率,少しの間,PERFECTのスコア15%をアップ,スコアボーナス
1,SCOREボーナス★2 / 9秒高確率,スコアボーナス,9秒毎、高確率で少しの間、PERFECTのスコア15%アップ,非該当,非該当,非該当,9,高確率,少しの間,PERFECTのスコア15%をアップ,スコアボーナス
1,SCOREボーナス★2 / 9秒中確率,スコアボーナス,9秒毎、中確率でしばらくの間、PERFECTのスコア15%アップ,非該当,非該当,非該当,9,中確率,しばらくの間,PERFECTのスコア15%をアップ,スコアボーナス
1,SCOREボーナス★2 / 11秒高確率,スコアボーナス,11秒毎、高確率でしばらくの間、PERFECTのスコア15%アップ,非該当,非該当,非該当,11,高確率,しばらくの間,PERFECTのスコア15%をアップ,スコアボーナス
1,SCOREボーナス★2 / 11秒中確率,スコアボーナス,11秒毎、中確率でかなりの間、PERFECTのスコア15%アップ,非該当,非該当,非該当,11,中確率,かなりの間,PERFECTのスコア15%をアップ,スコアボーナス
1,SCOREボーナス★2 / 13秒高確率,スコアボーナス,13秒毎、高確率でかなりの間、PERFECTのスコア15%アップ,非該当,非該当,非該当,13,高確率,かなりの間,PERFECTのスコア15%をアップ,スコアボーナス
1,SCOREボーナス★3 / 6秒中確率,スコアボーナス,6秒毎、中確率でわずかな間、PERFECT/GREATのスコア17%アップ,非該当,非該当,非該当,6,中確率,わずかな間,PERFECT/GREATのスコアを17%アップ,スコアボーナス
1,SCOREボーナス★3 / 7秒高確率,スコアボーナス,7秒毎、高確率でわずかな間、PERFECT/GREATのスコア17%アップ,非該当,非該当,非該当,7,高確率,わずかな間,PERFECT/GREATのスコアを17%アップ,スコアボーナス
