特技パーツ,特技パーツ効果分類,適用メンバー,適用アイコン,適用判定,特技パーツ効果,効果量,ブーストタイプ,特技
非該当,非該当,非該当,非該当,非該当,非該当,非該当,非該当,非該当
GREATをPERFECTにする,PERFECTサポート,全員,非該当,GREAT判定,PERFECTサポート,判定,判定強化,PERFECTサポート
GREAT/NICEをPERFECTにする,PERFECTサポート,全員,非該当,GREAT/NICE判定,PERFECTサポート,判定,判定強化,PERFECTサポート／チューニング
GREAT/NICE/BADをPERFECTにする,PERFECTサポート,全員,非該当,GREAT/NICE/BAD判定,PERFECTサポート,判定,判定強化,PERFECTサポート
PERFECT判定される時間が短くなる,PERFECTサポート,全員,非該当,PERFECT判定,集中,非該当,非該当,コンセントレーション
NICEでもCOMBOが継続する,COMBOサポート,全員,非該当,NICE判定,COMBOサポート,判定,判定強化,COMBOサポート
NICE/BADでもCOMBO継続,COMBOサポート,全員,非該当,NICE/BAD判定,COMBOサポート,判定,判定強化,オーバーロード
PERFECTのみCOMBO継続,COMBOサポート,全員,非該当,PERFECT判定のみ,COMBOサポート,判定,判定強化,オーバードライブ
PERFECTでライフを1回復,ライフサポート,全員,非該当,PERFECT判定,ライフ回復,1,数値強化,トリコロール・シナジー／オールラウンド／オーバードライブ
PERFECTでライフを2回復,ライフサポート,全員,非該当,PERFECT判定,ライフ回復,2,数値強化,ライフ回復
PERFECTでライフを3回復,ライフサポート,全員,非該当,PERFECT判定,ライフ回復,3,数値強化,ライフ回復
ライフが減少しなくなる,ライフサポート,全員,非該当,非該当,ダメージガード,0,数値強化（ライフ回復）,ダメージガード
LIVE中のライフゲージ減少量を50%ダウンする,ライフサポート,全員,非該当,非該当,ライフ減少量ダウン,0.5,％強化,クリスタル・ヒール
LIVE開始時にライフを200%まで回復,ライフサポート,全員,非該当,非該当,LIVE開始時にライフ回復,1,非該当,クリスタル・ヒール
PERFECTのスコアを8%アップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,0.08,％強化,ロングアクト／フリックアクト／スライドアクト／コーディネイト
PERFECTのスコアを10%アップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,0.1,％強化,ロングアクト／フリックアクト／スライドアクト／コーディネイト／SCOREボーナス
PERFECTのスコアを14%アップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,0.14,％強化,パッションフォーカス／クールフォーカス／キュートフォーカス
PERFECTのスコアを15%アップ,スコアアップ,全員,非該当,PERFECT判定,スコアボーナス,0.15,％強化,トリコロール・スパイク／SCOREボーナス
