パーツ番号,特技,特技分類,特技説明,発動要件,楽曲要件,編成要件,発動間隔,発動確率,継続期間,特技パーツ,特技パーツ効果
1,非該当,非該当,非該当,非該当,非該当,非該当,0,非該当,非該当,非該当,非該当
1,ロングアクト,スコアボーナス,9秒毎、高確率でしばらくの間、PERFECTのスコア8%アップ、ロングアイコンなら32%アップ,非該当,非該当,非該当,9,高確率,しばらくの間,PERFECTのスコアを8%アップ,スコアボーナス
1,ロングアクト,スコアボーナス,7秒毎、高確率で少しの間、PERFECTのスコア8%アップ、ロングアイコンなら32%アップ,非該当,非該当,非該当,7,高確率,少しの間,PERFECTのスコアを8%アップ,スコアボーナス
1,ロングアクト,スコアボーナス,11秒毎、高確率でかなりの間、PERFECTのスコア8%アップ、ロングアイコンなら32%アップ,非該当,非該当,非該当,11,高確率,かなりの間,PERFECTのスコアを8%アップ,スコアボーナス
1,ロングアクト,スコアボーナス,9秒毎、高確率でしばらくの間、PERFECTのスコア10%アップ、ロングアイコンなら40%アップ,非該当,非該当,非該当,9,高確率,しばらくの間,PERFECTのスコアを10%アップ,スコアボーナス
1,ロングアクト,スコアボーナス,7秒毎、高確率で少しの間、PERFECTのスコア10%アップ、ロングアイコンなら40%アップ,非該当,非該当,非該当,7,高確率,少しの間,PERFECTのスコアを10%アップ,スコアボーナス
1,ロングアクト,スコアボーナス,11秒毎、高確率でかなりの間、PERFECTのスコア10%アップ、ロングアイコンなら40%アップ,非該当,非該当,非該当,11,高確率,かなりの間,PERFECTのスコアを10%アップ,スコアボーナス
1,リフレイン,スコアボーナスコピー、COMBOボーナスコピー,11秒毎、高確率でしばらくの間、LIVE中に発動した最も高いスコアアップ効果/COMBOボーナス効果を適用,非該当,非該当,非該当,11,高確率,しばらくの間,LIVE中に発動した最も高いスコアアップ効果を適用,スコアボーナスコピー
1,リフレイン,スコアボーナスコピー、COMBOボーナスコピー,9秒毎、高確率で少しの間、LIVE中に発動した最も高いスコアアップ効果/COMBOボーナス効果を適用,非該当,非該当,非該当,9,高確率,少しの間,LIVE中に発動した最も高いスコアアップ効果を適用,スコアボーナスコピー
1,リフレイン,スコアボーナスコピー、COMBOボーナスコピー,7秒毎、高確率でわずかな間、LIVE中に発動した最も高いスコアアップ効果/COMBOボーナス効果を適用,非該当,非該当,非該当,7,高確率,わずかな間,LIVE中に発動した最も高いスコアアップ効果を適用,スコアボーナスコピー
1,ライフ回復,ライフ回復,9秒毎、低確率で少しの間、PERFECTでライフ2回復,非該当,非該当,非該当,9,低確率,少しの間,PERFECTでライフを2回復,ライフ回復
1,ライフ回復,ライフ回復,11秒毎、低確率でしばらくの間、PERFECTでライフ2回復,非該当,非該当,非該当,11,低確率,しばらくの間,PERFECTでライフを2回復,ライフ回復
1,ライフ回復,ライフ回復,13秒毎、低確率でかなりの間、PERFECTでライフ2回復,非該当,非該当,非該当,13,低確率,かなりの間,PERFECTでライフを2回復,ライフ回復
1,ライフ回復,ライフ回復,8秒毎、中確率でわずかな間、PERFECTでライフ3回復,非該当,非該当,非該当,8,中確率,わずかな間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復,ライフ回復,17秒毎、中確率でかなりの間、PERFECTでライフ3回復,非該当,非該当,非該当,17,中確率,かなりの間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復,ライフ回復,7秒毎、高確率で一瞬の間、PERFECTでライフ3回復,非該当,非該当,非該当,7,高確率,一瞬の間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復,ライフ回復,10秒毎、高確率でわずかな間、PERFECTでライフ3回復,非該当,非該当,非該当,10,高確率,わずかな間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復,ライフ回復,6秒毎、中確率で一瞬の間、PERFECTでライフ3回復,非該当,非該当,非該当,6,中確率,一瞬の間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復,ライフ回復,14秒毎、中確率でしばらくの間、PERFECTでライフ3回復,非該当,非該当,非該当,14,中確率,しばらくの間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復,ライフ回復,11秒毎、中確率で少しの間、PERFECTでライフ3回復,非該当,非該当,非該当,11,中確率,少しの間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復,ライフ回復,13秒毎、高確率で少しの間、PERFECTでライフ3回復,非該当,非該当,非該当,13,高確率,少しの間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復,ライフ回復,7秒毎、中確率でわずかな間、PERFECTでライフ3回復,非該当,非該当,非該当,7,中確率,わずかな間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復,ライフ回復,9秒毎、中確率で少しの間、PERFECTでライフ3回復,非該当,非該当,非該当,9,中確率,少しの間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復,ライフ回復,11秒毎、高確率で少しの間、PERFECTでライフ3回復,非該当,非該当,非該当,11,高確率,少しの間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復,ライフ回復,13秒毎、高確率でしばらくの間、PERFECTでライフ3回復,非該当,非該当,非該当,13,高確率,しばらくの間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復,ライフ回復,10秒毎、高確率で少しの間、PERFECTでライフ3回復,非該当,非該当,非該当,10,高確率,少しの間,PERFECTでライフを3回復,ライフ回復
1,ライフ回復,ライフ回復,8秒毎、高確率でわずかな間、PERFECTでライフ3回復,非該当,非該当,非該当,8,高確率,わずかな間,PERFECTでライフを3回復,ライフ回復
1,ライフスパークル,COMBOボーナス,13秒毎、高確率でかなりの間、ライフ値が多いほどCOMBOボーナスアップ,非該当,非該当,非該当,13,高確率,かなりの間,ライフ値が多いほどCOMBOボーナスアップ,COMBOボーナス
1,ライフスパークル,COMBOボーナス,11秒毎、高確率でしばらくの間、ライフ値が多いほどCOMBOボーナスアップ,非該当,非該当,非該当,11,高確率,しばらくの間,ライフ値が多いほどCOMBOボーナスアップ,COMBOボーナス
1,ライフスパークル,COMBOボーナス,9秒毎、高確率で少しの間、ライフ値が多いほどCOMBOボーナスアップ,非該当,非該当,非該当,9,高確率,少しの間,ライフ値が多いほどCOMBOボーナスアップ,COMBOボーナス
1,ライフスパークル,COMBOボーナス,7秒毎、高確率でわずかな間、ライフ値が多いほどCOMBOボーナスアップ,非該当,非該当,非該当,7,高確率,わずかな間,ライフ値が多いほどCOMBOボーナスアップ,COMBOボーナス
1,ミューチャル,スコアボーナスダウン、COMBOボーナスコピー＆COMBOブースト,9秒毎、中確率でしばらくの間、スコア20%ダウン、LIVE中に発動した最も高いCOMBOボーナス効果を極大アップして適用,非該当,非該当,非該当,9,中確率,しばらくの間,スコアを20%ダウン,スコアボーナス
